director_name_id,director_name,actor_name,,
1,James Cameron,CCH Pounder,,
2,Gore Verbinski,Johnny Depp,,
3,Sam Mendes,Christoph Waltz,,
4,Christopher Nolan,Tom Hardy,,
5,Doug Walker,Doug Walker,,
6,Andrew Stanton,Daryl Sabara,,
7,Sam Raimi,J.K. Simmons,,
8,Nathan Greno,Brad Garrett,,
9,Joss Whedon,Chris Hemsworth,,
10,David Yates,Alan Rickman,,
11,Zack Snyder,Henry Cavill,,
12,Bryan Singer,Kevin Spacey,,
13,Marc Forster,Giancarlo Giannini,,
2,Gore Verbinski,Johnny Depp,,
2,Gore Verbinski,Johnny Depp,,
11,Zack Snyder,Henry Cavill,,
14,Andrew Adamson,Peter Dinklage,,
9,Joss Whedon,Chris Hemsworth,,
15,Rob Marshall,Johnny Depp,,
16,Barry Sonnenfeld,Will Smith,,
17,Peter Jackson,Aidan Turner,,
18,Marc Webb,Emma Stone,,
19,Ridley Scott,Mark Addy,,
17,Peter Jackson,Aidan Turner,,
20,Chris Weitz,Christopher Lee,,
17,Peter Jackson,Naomi Watts,,
1,James Cameron,Leonardo DiCaprio,,
21,Anthony Russo,Robert Downey Jr.,,
22,Peter Berg,Liam Neeson,,
23,Colin Trevorrow,Bryce Dallas Howard,,
3,Sam Mendes,Albert Finney,,
7,Sam Raimi,J.K. Simmons,,
24,Shane Black,Robert Downey Jr.,,
25,Tim Burton,Johnny Depp,,
26,Brett Ratner,Hugh Jackman,,
27,Dan Scanlon,Steve Buscemi,,
28,Michael Bay,Glenn Morshower,,
28,Michael Bay,Bingbing Li,,
7,Sam Raimi,Tim Holmes,,
18,Marc Webb,Emma Stone,,
29,Joseph Kosinski,Jeff Bridges,,
30,John Lasseter,Joe Mantegna,,
31,Martin Campbell,Ryan Reynolds,,
32,Lee Unkrich,Tom Hanks,,
33,McG,Christian Bale,,
34,James Wan,Jason Statham,,
13,Marc Forster,Peter Capaldi,,
12,Bryan Singer,Jennifer Lawrence,,
35,J.J. Abrams,Benedict Cumberbatch,,
12,Bryan Singer,Eddie Marsan,,
36,Baz Luhrmann,Leonardo DiCaprio,,
37,Mike Newell,Jake Gyllenhaal,,
38,Guillermo del Toro,Charlie Hunnam,,
28,Michael Bay,Glenn Morshower,,
39,Steven Spielberg,Harrison Ford,,
40,Peter Sohn,A.J. Buckley,,
41,Mark Andrews,Kelly Macdonald,,
42,Justin Lin,Sofia Boutella,,
6,Andrew Stanton,John Ratzenberger,,
26,Brett Ratner,Tzi Ma,,
43,Roland Emmerich,Oliver Platt,,
44,Robert Zemeckis,Robin Wright,,
45,Lana Wachowski,Channing Tatum,,
10,David Yates,Christoph Waltz,,
14,Andrew Adamson,Jim Broadbent,,
12,Bryan Singer,Jennifer Lawrence,,
4,Christopher Nolan,Christian Bale,,
46,Pete Docter,John Ratzenberger,,
47,Rob Letterman,Amy Poehler,,
48,Jon Favreau,Robert Downey Jr.,,
49,Martin Scorsese,Chloë Grace Moretz,,
16,Barry Sonnenfeld,Will Smith,,
50,Rob Cohen,Jet Li,,
51,David Ayer,Will Smith,,
52,Tom Shadyac,Jimmy Bennett,,
53,Doug Liman,Tom Cruise,,
54,Kevin Reynolds,Jeanne Tripplehorn,,
55,Stephen Sommers,Joseph Gordon-Levitt,,
46,Pete Docter,Amy Poehler,,
48,Jon Favreau,Scarlett Johansson,,
48,Jon Favreau,Robert Downey Jr.,,
56,Rupert Sanders,Chris Hemsworth,,
57,Robert Stromberg,Angelina Jolie Pitt,,
58,Matt Reeves,Gary Oldman,,
59,Roland Joffé,Tamsin Egerton,,
60,Carl Rinsch,Keanu Reeves,,
21,Anthony Russo,Scarlett Johansson,,
61,Mike Mitchell,Jon Hamm,,
62,Brad Bird,Judy Greer,,
63,Don Hall,Damon Wayans Jr.,,
64,Rich Moore,Jack McBrayer,,
44,Robert Zemeckis,Tom Hanks,,
43,Roland Emmerich,Vivica A. Fox,,
65,Dean DeBlois,Gerard Butler,,
66,Jonathan Mostow,Nick Stahl,,
67,James Gunn,Bradley Cooper,,
4,Christopher Nolan,Matthew McConaughey,,
4,Christopher Nolan,Leonardo DiCaprio,,
68,Hideaki Anno,Mark Chinnery,,
17,Peter Jackson,Aidan Turner,,
50,Rob Cohen,Paul Walker,,
69,David Fincher,Brad Pitt,,
70,Matthew Vaughn,Jennifer Lawrence,,
71,Francis Lawrence,Jennifer Lawrence,,
72,Jon Turteltaub,Nicolas Cage,,
73,Wolfgang Petersen,Jimmy Bennett,,
74,James Bobin,Johnny Depp,,
75,Chris Miller,Justin Timberlake,,
76,Duncan Jones,Dominic Cooper,,
77,Alan Taylor,J.K. Simmons,,
78,Michael Apted,Bruce Spence,,
28,Michael Bay,Jennifer Garner,,
28,Michael Bay,Zack Ward,,
79,Oliver Stone,Anthony Hopkins,,
10,David Yates,Robert Pattinson,,
37,Mike Newell,Robert Pattinson,,
22,Peter Berg,Will Smith,,
71,Francis Lawrence,Will Smith,,
25,Tim Burton,Johnny Depp,,
62,Brad Bird,Janeane Garofalo,,
4,Christopher Nolan,Christian Bale,,
80,Eric Darnell,Bernie Mac,,
81,Shawn Levy,Robin Williams,,
82,Gavin Hood,Hugh Jackman,,
45,Lana Wachowski,Essie Davis,,
83,Chris Buck,Josh Gad,,
45,Lana Wachowski,Steve Bastoni,,
77,Alan Taylor,Chris Hemsworth,,
84,George Miller,Tom Hardy,,
85,Ron Howard,Tom Hanks,,
86,Kenneth Branagh,Chris Hemsworth,,
87,Byron Howard,Chloë Grace Moretz,,
88,Hoyt Yeatman,Kelli Garner,,
89,Jonathan Liebesman,Liam Neeson,,
25,Tim Burton,Johnny Depp,,
90,Christopher McQuarrie,Tom Cruise,,
91,Joe Johnston,Anthony Hopkins,,
10,David Yates,Christoph Waltz,,
92,Steve Hickner,Matthew Broderick,,
93,Jennifer Yuh Nelson,Angelina Jolie Pitt,,
94,M. Night Shyamalan,Seychelle Gabriel,,
35,J.J. Abrams,Philip Seymour Hoffman,,
43,Roland Emmerich,Channing Tatum,,
95,Simon Wells,Elisabeth Harnois,,
96,David Bowers,Hugh Jackman,,
97,Joe Wright,Hugh Jackman,,
98,Rob Minkoff,Ty Burrell,,
73,Wolfgang Petersen,Brad Pitt,,
80,Eric Darnell,Jada Pinkett Smith,,
99,Lee Tamahori,Toby Stephens,,
100,Paul Feig,Ed Begley Jr.,,
28,Michael Bay,Bruce Willis,,
16,Barry Sonnenfeld,Will Smith,,
44,Robert Zemeckis,Robin Wright,,
101,Alessandro Carloni,J.K. Simmons,,
62,Brad Bird,Tom Cruise,,
102,Peter Ramsey,Hugh Jackman,,
103,Dean Parisot,John Michael Higgins,,
104,Edward Zwick,Tom Cruise,,
19,Ridley Scott,Christian Bale,,
35,J.J. Abrams,Chris Hemsworth,,
7,Sam Raimi,J.K. Simmons,,
65,Dean DeBlois,Gerard Butler,,
105,Alex Proyas,Gerard Butler,,
50,Rob Cohen,Sam Shepard,,
11,Zack Snyder,Matt Frewer,,
106,Richard Donner,Jet Li,,
107,Ang Lee,Kevin Rankin,,
108,Jon M. Chu,Channing Tatum,,
109,Breck Eisner,Matthew McConaughey,,
110,Hironobu Sakaguchi,Steve Buscemi,,
91,Joe Johnston,Chris Evans,,
78,Michael Apted,Colin Salmon,,
111,Peter Weir,James D'Arcy,,
112,Bill Condon,Robert Pattinson,,
84,George Miller,Robin Williams,,
113,Louis Leterrier,Ty Burrell,,
114,NA,Don Johnson,,
39,Steven Spielberg,Mark Rylance,,
115,Alejandro G. Iñárritu,Leonardo DiCaprio,,
116,David Soren,Ryan Reynolds,,
