source,target
James Cameron,Sam Mendes
James Cameron,Christopher Nolan
James Cameron,Sam Raimi
Gore Verbinski,Sam Raimi
Sam Mendes,David Yates
Andrew Stanton,Nathan Greno
Gore Verbinski,Marc Forster
Sam Mendes,Bryan Singer
Sam Mendes,Marc Forster
Gore Verbinski,Rob Marshall
Gore Verbinski,Peter Jackson
James Cameron,Ridley Scott
Sam Mendes,Ridley Scott
Christopher Nolan,Peter Berg
Bryan Singer,Andrew Adamson
Gore Verbinski,Tim Burton
Sam Mendes,Tim Burton
James Cameron,Michael Bay
Christopher Nolan,Brett Ratner
Joss Whedon,Anthony Russo
David Yates,Chris Weitz
Zack Snyder,Ridley Scott
Bryan Singer,Ridley Scott
Christopher Nolan,Joseph Kosinski
Bryan Singer,Peter Berg
Sam Mendes,Lee Unkrich
David Yates,Tim Burton
Sam Mendes,McG
Andrew Stanton,John Lasseter
Peter Jackson,Ridley Scott
James Cameron,Baz Luhrmann
Christopher Nolan,McG
Peter Jackson,Chris Weitz
Christopher Nolan,James Wan
Andrew Stanton,Lee Unkrich
Sam Raimi,Martin Campbell
Bryan Singer,Brett Ratner
Barry Sonnenfeld,Peter Berg
Gore Verbinski,Mike Newell
Ridley Scott,Chris Weitz
James Cameron,Steven Spielberg
Sam Mendes,Mike Newell
Ridley Scott,Peter Berg
Bryan Singer,John Lasseter
Christopher Nolan,Steven Spielberg
Andrew Adamson,Joseph Kosinski
Joss Whedon,J.J. Abrams
Barry Sonnenfeld,Michael Bay
Chris Weitz,Tim Burton
Anthony Russo,Shane Black
Christopher Nolan,Roland Emmerich
Andrew Stanton,Mark Andrews
David Yates,Mike Newell
Zack Snyder,Baz Luhrmann
Bryan Singer,J.J. Abrams
Ridley Scott,Michael Bay
Christopher Nolan,Robert Zemeckis
Ridley Scott,Joseph Kosinski
James Cameron,Martin Scorsese
Andrew Adamson,Baz Luhrmann
Peter Berg,Michael Bay
James Cameron,Rob Cohen
Bryan Singer,Steven Spielberg
Christopher Nolan,Jon Favreau
Andrew Stanton,Pete Docter
Joss Whedon,Roland Emmerich
Peter Jackson,J.J. Abrams
Ridley Scott,McG
Tim Burton,Dan Scanlon
James Cameron,Tom Shadyac
Sam Mendes,Rob Cohen
Christopher Nolan,Martin Scorsese
Andrew Adamson,Steven Spielberg
Marc Forster,Mark Andrews
Dan Scanlon,Michael Bay
Sam Raimi,Martin Scorsese
Marc Forster,Roland Emmerich
Colin Trevorrow,McG
Joss Whedon,Jon Favreau
Sam Raimi,David Ayer
Ridley Scott,Steven Spielberg
Tim Burton,McG
Christopher Nolan,Stephen Sommers
Barry Sonnenfeld,Roland Emmerich
Chris Weitz,Steven Spielberg
Peter Jackson,Roland Emmerich
Zack Snyder,Rob Cohen
Peter Berg,Steven Spielberg
Brett Ratner,J.J. Abrams
Andrew Adamson,Jon Favreau
John Lasseter,Lee Unkrich
Andrew Adamson,Martin Scorsese
Ridley Scott,Robert Zemeckis
David Yates,Kevin Reynolds
Marc Forster,David Ayer
Joss Whedon,Rupert Sanders
Zack Snyder,Kevin Reynolds
Bryan Singer,Doug Liman
Brett Ratner,Steven Spielberg
Martin Campbell,James Wan
James Cameron,Dean DeBlois
Barry Sonnenfeld,David Ayer
Marc Webb,Martin Scorsese
Michael Bay,Steven Spielberg
Andrew Stanton,Brad Bird
Joseph Kosinski,Steven Spielberg
Ridley Scott,Rob Cohen
Chris Weitz,Martin Scorsese
Anthony Russo,Jon Favreau
Brett Ratner,Roland Emmerich
John Lasseter,Steven Spielberg
Christopher Nolan,Jonathan Mostow
Peter Jackson,Doug Liman
Gore Verbinski,David Fincher
Ridley Scott,Tom Shadyac
Peter Berg,Martin Scorsese
Lee Unkrich,Steven Spielberg
Zack Snyder,Mike Mitchell
Michael Bay,Robert Zemeckis
Marc Webb,Stephen Sommers
Chris Weitz,Doug Liman
Dan Scanlon,Pete Docter
Gore Verbinski,Jon Turteltaub
Sam Mendes,Francis Lawrence
Christopher Nolan,Matthew Vaughn
Nathan Greno,Jonathan Mostow
Ridley Scott,Stephen Sommers
Tim Burton,Martin Scorsese
J.J. Abrams,Steven Spielberg
Gore Verbinski,James Bobin
Zack Snyder,Dean DeBlois
Peter Berg,Kevin Reynolds
Michael Bay,Jon Favreau
Lee Unkrich,Robert Zemeckis
Joseph Kosinski,Jon Favreau
Marc Forster,Dean DeBlois
Barry Sonnenfeld,Brad Bird
Martin Campbell,Martin Scorsese
Mike Newell,Roland Emmerich
Gore Verbinski,Oliver Stone
David Yates,Francis Lawrence
Zack Snyder,Matthew Vaughn
Joseph Kosinski,Tom Shadyac
McG,Jon Favreau
Baz Luhrmann,Lana Wachowski
Bryan Singer,Matthew Vaughn
Marc Forster,David Fincher
Joseph Kosinski,Doug Liman
Steven Spielberg,Roland Emmerich
Bryan Singer,Francis Lawrence
Joseph Kosinski,Kevin Reynolds
James Wan,Martin Scorsese
Steven Spielberg,Robert Zemeckis
Sam Raimi,Alan Taylor
David Yates,James Bobin
Ridley Scott,Dean DeBlois
McG,David Ayer
James Wan,Rob Cohen
Sam Raimi,Michael Apted
Bryan Singer,Wolfgang Petersen
Colin Trevorrow,Brad Bird
Tim Burton,Carl Rinsch
James Wan,David Ayer
Joss Whedon,Alan Taylor
Ridley Scott,James Gunn
Barry Sonnenfeld,Francis Lawrence
Marc Webb,David Fincher
J.J. Abrams,Tom Shadyac
