source,source_label,target,target_label
2,actor_1_name,2101,actor_2_name
3,CCH Pounder,1729,Joel David Moore
4,Johnny Depp,183,Orlando Bloom
5,Christoph Waltz,2102,Rory Kinnear
6,Tom Hardy,37,Christian Bale
7,Doug Walker,2103,Rob Walker
8,Daryl Sabara,1062,Samantha Morton
9,J.K. Simmons,185,James Franco
10,Brad Garrett,1699,Donna Murphy
11,Chris Hemsworth,24,Robert Downey Jr.
12,Alan Rickman,116,Daniel Radcliffe
13,Henry Cavill,1189,Lauren Cohan
14,Kevin Spacey,376,Marlon Brando
15,Giancarlo Giannini,1084,Mathieu Amalric
4,Johnny Depp,183,Orlando Bloom
4,Johnny Depp,617,Ruth Wilson
13,Henry Cavill,267,Christopher Meloni
16,Peter Dinklage,2104,Pierfrancesco Favino
11,Chris Hemsworth,24,Robert Downey Jr.
4,Johnny Depp,850,Sam Claflin
17,Will Smith,1322,Michael Stuhlbarg
18,Aidan Turner,2105,Adam Brown
19,Emma Stone,493,Andrew Garfield
20,Mark Addy,1033,William Hurt
18,Aidan Turner,2105,Adam Brown
21,Christopher Lee,147,Eva Green
22,Naomi Watts,1047,Thomas Kretschmann
23,Leonardo DiCaprio,144,Kate Winslet
24,Robert Downey Jr.,62,Scarlett Johansson
25,Liam Neeson,791,Alexander Skarsgård
26,Bryce Dallas Howard,68,Judy Greer
27,Albert Finney,2106,Helen McCrory
9,J.K. Simmons,185,James Franco
24,Robert Downey Jr.,214,Jon Favreau
4,Johnny Depp,12,Alan Rickman
28,Hugh Jackman,948,Kelsey Grammer
29,Steve Buscemi,686,Tyler Labine
30,Glenn Morshower,2107,Kevin Dunn
31,Bingbing Li,392,Sophia Myles
32,Tim Holmes,378,Mila Kunis
19,Emma Stone,493,Andrew Garfield
33,Jeff Bridges,354,Olivia Wilde
34,Joe Mantegna,1047,Thomas Kretschmann
35,Ryan Reynolds,2108,Temuera Morrison
36,Tom Hanks,49,John Ratzenberger
37,Christian Bale,26,Bryce Dallas Howard
38,Jason Statham,77,Paul Walker
39,Peter Capaldi,78,Brad Pitt
40,Jennifer Lawrence,16,Peter Dinklage
41,Benedict Cumberbatch,239,Bruce Greenwood
42,Eddie Marsan,2109,Ewen Bremner
23,Leonardo DiCaprio,2110,Elizabeth Debicki
43,Jake Gyllenhaal,1149,Richard Coyle
44,Charlie Hunnam,363,Clifton Collins Jr.
30,Glenn Morshower,2111,Lester Speight
45,Harrison Ford,170,Ray Winstone
46,A.J. Buckley,2112,Jack McGraw
47,Kelly Macdonald,49,John Ratzenberger
48,Sofia Boutella,2113,Melissa Roxburgh
49,John Ratzenberger,1421,Fred Willard
50,Tzi Ma,2114,Dana Ivey
51,Oliver Platt,2115,Liam James
52,Robin Wright,301,Colin Firth
53,Channing Tatum,378,Mila Kunis
5,Christoph Waltz,791,Alexander Skarsgård
54,Jim Broadbent,2116,Kiran Shah
40,Jennifer Lawrence,128,Michael Fassbender
37,Christian Bale,143,Heath Ledger
49,John Ratzenberger,307,Delroy Lindo
55,Amy Poehler,677,Rainn Wilson
24,Robert Downey Jr.,33,Jeff Bridges
56,Chloë Grace Moretz,21,Christopher Lee
17,Will Smith,114,Salma Hayek
57,Jet Li,243,Brendan Fraser
17,Will Smith,2117,Robin Atkin Downes
58,Jimmy Bennett,133,Morgan Freeman
59,Tom Cruise,2118,Lara Pulver
60,Jeanne Tripplehorn,2119,Rick Aviles
61,Joseph Gordon-Levitt,187,Dennis Quaid
55,Amy Poehler,2120,Mindy Kaling
62,Scarlett Johansson,195,Bill Murray
24,Robert Downey Jr.,62,Scarlett Johansson
11,Chris Hemsworth,227,Kristen Stewart
63,Angelina Jolie Pitt,647,Sharlto Copley
64,Gary Oldman,68,Judy Greer
65,Tamsin Egerton,2121,Alice Englert
66,Keanu Reeves,157,Cary-Hiroyuki Tagawa
62,Scarlett Johansson,107,Chris Evans
67,Jon Hamm,2122,Kathy Griffin
68,Judy Greer,2123,Chris Bauer
69,Damon Wayans Jr.,2124,Daniel Henney
70,Jack McBrayer,557,Sarah Silverman
36,Tom Hanks,2125,Eddie Deezen
71,Vivica A. Fox,866,Sela Ward
72,Gerard Butler,724,America Ferrera
73,Nick Stahl,2126,M.C. Gainey
74,Bradley Cooper,130,Vin Diesel
75,Matthew McConaughey,206,Anne Hathaway
23,Leonardo DiCaprio,6,Tom Hardy
76,Mark Chinnery,2127,Shin'ya Tsukamoto
18,Aidan Turner,2105,Adam Brown
77,Paul Walker,130,Vin Diesel
78,Brad Pitt,254,Jason Flemyng
40,Jennifer Lawrence,128,Michael Fassbender
40,Jennifer Lawrence,96,Philip Seymour Hoffman
79,Nicolas Cage,2128,Omar Benson Miller
58,Jimmy Bennett,749,Mike Vogel
4,Johnny Depp,12,Alan Rickman
80,Justin Timberlake,379,Eric Idle
81,Dominic Cooper,638,Callum Rennie
9,J.K. Simmons,2129,Emilia Clarke
82,Bruce Spence,2130,Shane Rangi
83,Jennifer Garner,405,Jaime King
84,Zack Ward,439,Michael O'Neill
85,Anthony Hopkins,63,Angelina Jolie Pitt
86,Robert Pattinson,116,Daniel Radcliffe
86,Robert Pattinson,116,Daniel Radcliffe
17,Will Smith,236,Charlize Theron
17,Will Smith,641,Alice Braga
4,Johnny Depp,21,Christopher Lee
87,Janeane Garofalo,49,John Ratzenberger
37,Christian Bale,25,Liam Neeson
88,Bernie Mac,99,Jada Pinkett Smith
89,Robin Williams,302,Rami Malek
28,Hugh Jackman,35,Ryan Reynolds
90,Essie Davis,2131,Collin Chou
91,Josh Gad,2132,Maurice LaMarche
92,Steve Bastoni,2133,Daniel Bernhardt
11,Chris Hemsworth,134,Natalie Portman
6,Tom Hardy,236,Charlize Theron
36,Tom Hanks,262,Ayelet Zurer
11,Chris Hemsworth,134,Natalie Portman
56,Chloë Grace Moretz,859,Diedrich Bader
93,Kelli Garner,2134,Piper Mackenzie Harris
25,Liam Neeson,965,Edgar Ramírez
4,Johnny Depp,56,Chloë Grace Moretz
59,Tom Cruise,122,Jeremy Renner
85,Anthony Hopkins,1623,Simon Merrells
5,Christoph Waltz,791,Alexander Skarsgård
94,Matthew Broderick,153,Oprah Winfrey
63,Angelina Jolie Pitt,64,Gary Oldman
95,Seychelle Gabriel,2135,Noah Ringer
96,Philip Seymour Hoffman,59,Tom Cruise
53,Channing Tatum,2136,Jake Weber
97,Elisabeth Harnois,1463,Dan Fogler
28,Hugh Jackman,144,Kate Winslet
28,Hugh Jackman,748,Cara Delevingne
98,Ty Burrell,2137,Zach Callison
